,perum,detail
11,"<p class=""venue-front-title"">Teras Bintaro</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Teras Bintaro</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,21mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Teras Tjilandak</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Teras Tjilandak</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.7,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.300jt<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Terrace One At Menteng</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Terrace One At Menteng</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Terrace Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Terrace Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">The Abbey At Kemang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Abbey At Kemang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.672jt<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">The Adhyaksa Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Adhyaksa Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">The Aksara Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Aksara Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.7,28mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">The Ayana Regency</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Ayana Regency</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.680jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">The Ayona Regency</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Ayona Regency</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">The Bali Kemang Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Bali Kemang Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">The Bango Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Bango Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,15mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">The Bukit</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Bukit</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">The Cluster Taman Siaga</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Cluster Taman Siaga</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">The Colony Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Colony Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">The East Pancoran</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The East Pancoran</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.25mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">The Enclave Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Enclave Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">The Fame Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Fame Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">The Foreland Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Foreland Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.180jt<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">The Foxglove Hills Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Foxglove Hills Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">The Green Cipayung Regency</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Green Cipayung Regency</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">The Green Gading Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Green Gading Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,7mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">The Green Mansion</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Green Mansion</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">The Harmony Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Harmony Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">The Haven Kemang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Haven Kemang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">The Hills Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Hills Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">The ICON</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The ICON</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">The Jimbaran Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Jimbaran Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.500jt<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">The Kebagusan Premium Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Kebagusan Premium Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">The Kew Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Kew Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,45mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">The Kretya Urban Living</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Kretya Urban Living</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">The Leaves Bintaro Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Leaves Bintaro Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,02mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">The Loft Kebagusan</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Loft Kebagusan</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">The Lux Town Home</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Lux Town Home</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">The Mampang House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Mampang House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">The Manggis Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Manggis Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">The Mozz Residence 7</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Mozz Residence 7</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">The Mozz Residence 8</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Mozz Residence 8</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">The Mozz Residence 9</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Mozz Residence 9</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">The Myer</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Myer</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.750jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">The Oasis Residence 8</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">The Oasis Residence 8</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
